date,pagePath,sessionDefaultChannelGroup,sessions,totalUsers,screenPageViews,averageSessionDuration
20260607,/convenio-hosteleria-barcelona.html,Organic Search,5,5,5,109.2695922
20260607,/convenio-limpieza-asturias.html,Organic Search,5,4,4,59.694573000000005
20260607,/convenio-limpieza-zaragoza.html,Organic Search,5,3,4,12.462445200000001
20260607,/,Direct,4,4,4,0
20260607,/convenio-hosteleria-madrid.html,Organic Search,4,3,4,90.94792625
20260607,/convenio-hosteleria-tarragona.html,Organic Search,4,3,4,43.715967
20260607,/convenio-limpieza-sevilla.html,Organic Search,4,4,5,267.650332
20260607,/convenio-hosteleria-baleares.html,Organic Search,3,3,3,21.268838333333331
20260607,/convenio-hosteleria-valencia.html,Organic Search,3,3,4,407.076696
20260607,/convenio-hosteleria-zaragoza.html,Organic Search,3,3,4,297.26754933333331
20260607,/convenio-hosteleria-barcelona.html,Direct,2,1,2,0
20260607,/convenio-hosteleria-maresme.html,Organic Search,2,2,2,134.5046225
20260607,/convenio-hosteleria-tarragona.html,Direct,2,2,2,0
20260607,/convenio-limpieza-bizkaia.html,Organic Search,2,2,2,1.407268
20260607,/convenio-limpieza-edificios-locales.html,Organic Search,2,2,3,58.219783
20260607,/convenio-limpieza-madrid.html,Organic Search,2,2,2,1.292198
20260607,/convenio-limpieza-murcia.html,Organic Search,2,2,2,0
20260607,/plantilla-solicitar-nominas.html,Organic Search,2,1,2,5.9294505
20260607,/,Organic Search,1,1,1,169.028721
20260607,/convenio-hosteleria-bizkaia.html,Organic Search,1,1,1,0
20260607,/convenio-hosteleria-cadiz.html,Organic Search,1,1,1,152.689451
20260607,/convenio-hosteleria-tarragona.html,Referral,1,1,1,86.710034
20260607,/convenio-hosteleria-zaragoza.html,Referral,1,1,1,212.478753
20260607,/convenio-limpieza-barcelona.html,Direct,1,1,1,0
20260607,/convenio-limpieza-malaga.html,Organic Search,1,1,1,28.796776
20260607,/ley-transparencia-salarial-2026.html,Direct,1,1,1,0
20260607,/plantilla-reclamar-atrasos-convenio-salarial.html,Organic Search,1,1,1,2.611456
20260607,/tramos-irpf-2026.html,Organic Search,1,1,1,145.93019
